Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,35,0,0,0,0,0
Italy,74,65,0,0,2,2
Germany,16,0,0,0,0,0
Spain,2,0,0,0,0,0
The United Kingdom,9,0,0,0,0,0
France,11,0,0,0,1,0
Iran (Islamic Republic of),23,9,0,0,5,1
Belgium,1,0,0,0,0,0
Canada,9,1,0,0,0,0
Israel,1,0,0,0,0,0
Sweden,1,0,0,0,0,0
Russian Federation,2,0,0,0,0,0
Australia,22,1,0,0,0,0
India,3,0,0,0,0,0
Japan,131,27,0,0,1,0
Philippines,2,0,0,0,1,0
Republic of Korea,597,253,0,0,5,3
Malaysia,22,0,0,0,0,0
Finland,1,0,0,0,0,0
China,49910,-1779,24757,1850,2595,150
United Arab Emirates,13,2,0,0,0,0
Thailand,35,0,0,0,0,0
Singapore,89,3,0,0,0,0
Egypt,1,0,0,0,0,0
Lebanon,1,0,0,0,0,0
Vietnam,16,0,0,0,0,0
Sri Lanka,1,0,0,0,0,0
International conveyance (Diamond Princess),632,0,0,0,2,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
