Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,135754,17638,2665,1674,2467,457
Italy,73880,3815,13030,646,10779,756
Germany,49146,3654,8481,1549,474,96
Spain,59984,5711,12285,0,6528,838
The United Kingdom,18159,2224,135,0,1228,209
France,30436,875,7132,1432,2606,292
Turkey,8981,1757,105,35,131,23
Iran (Islamic Republic of),23278,2066,12391,712,2640,123
Belgium,10055,1624,350,0,431,78
Canada,5909,879,345,0,66,7
Netherlands,7141,972,2954,0,771,132
Brazil,4120,795,0,0,136,44
Switzerland,12549,1101,1530,0,257,22
Portugal,5821,1651,22,0,119,43
Austria,8243,839,225,0,68,0
Israel,4034,516,132,43,81,69
Sweden,3573,245,17,0,110,8
Russian Federation,1462,251,64,15,8,4
Norway,4219,260,0,0,26,4
Australia,3958,456,119,0,16,2
Ireland,2569,190,0,0,46,10
Czechia,2778,178,11,0,16,5
India,902,83,95,15,27,8
Poland,1827,220,13,0,22,4
Chile,1860,0,43,0,6,0
Japan,1433,135,404,32,56,2
Denmark,2322,187,1,0,72,7
Ecuador,1775,216,0,0,48,12
Romania,1549,396,169,54,42,18
Pakistan,1526,68,25,0,15,3
Philippines,1305,333,42,7,71,3
Republic of Korea,4398,-125,5033,222,152,8
Luxembourg,1929,116,0,0,21,3
Mexico,841,137,1,0,16,4
Malaysia,2048,75,388,68,34,7
Indonesia,1136,118,35,0,114,12
Serbia,737,88,0,0,13,3
Finland,1197,53,10,0,11,2
China,3199,-236,75937,337,3311,5
United Arab Emirates,509,98,58,3,3,1
Saudi Arabia,1225,63,66,29,8,4
Panama,884,112,0,0,17,3
Qatar,585,41,48,3,1,0
Dominican Republic,561,0,0,0,20,0
Greece,1099,89,19,0,38,6
Colombia,592,0,10,0,6,0
South Africa,1277,93,1,0,2,0
Peru,820,179,14,0,18,2
Thailand,1284,142,97,0,7,1
Argentina,725,53,1,0,19,2
Ukraine,459,117,6,1,10,1
Algeria,451,97,29,0,31,5
Iceland,894,30,124,27,2,0
Singapore,658,41,183,0,3,1
Egypt,437,18,132,11,40,4
Croatia,615,69,37,0,5,2
Estonia,656,37,20,0,3,2
Republic of Moldova,219,32,10,0,2,0
Morocco,424,100,13,2,26,2
Slovenia,682,59,0,0,9,0
Lithuania,429,55,1,0,7,0
Belarus,72,0,22,0,0,0
Armenia,391,48,30,2,3,2
Hungary,361,63,34,0,13,2
New Zealand,463,62,50,0,1,1
Iraq,362,29,143,12,42,0
Azerbaijan,190,27,15,0,4,0
Kazakhstan,262,63,20,16,1,0
Kuwait,191,20,64,0,0,0
Bosnia and Herzegovina,310,86,8,3,6,2
Cameroon,134,39,3,1,2,0
Tunisia,304,83,0,0,8,2
Slovakia,307,19,7,0,0,0
Bulgaria,328,21,3,0,7,4
Latvia,347,42,0,0,0,0
North Macedonia,250,35,1,0,6,3
Uzbekstan,131,29,0,0,2,0
Puerto Rico,62,0,0,0,2,0
Andorra,322,22,6,1,6,3
Cyprus,208,34,0,0,6,1
Lebanon,398,21,30,3,10,2
Costa Rica,293,0,0,0,2,0
Afghanistan,119,4,0,0,4,2
Bahrain,223,8,272,18,4,0
Réunion,143,8,0,0,0,0
Cuba,116,38,0,0,3,1
Cote d Ivoire,160,62,4,1,1,1
Oman,138,9,29,6,0,0
Uruguay,268,36,6,0,0,0
Malta,139,0,0,0,0,0
Ghana,145,11,2,0,5,0
