Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,32486,7465,178,7,409,108
Italy,46638,3957,7024,952,5476,651
Germany,24949,3140,239,30,91,8
Spain,24277,2802,2575,450,1720,394
The United Kingdom,5309,603,93,14,281,48
France,13757,1447,1587,0,674,112
Turkey,1206,280,0,0,30,9
Iran (Islamic Republic of),12040,621,7913,278,1685,129
Belgium,3036,551,290,27,75,8
Canada,1438,139,12,1,20,0
Netherlands,4025,530,0,0,179,43
Brazil,1521,411,0,0,25,7
Switzerland,6951,897,3,0,60,4
Portugal,1585,320,3,0,12,0
Austria,3219,586,9,0,16,9
Israel,1033,166,37,22,1,0
Sweden,1889,180,17,0,23,3
Russian Federation,379,90,16,0,1,0
Norway,2255,112,0,0,7,0
Australia,1064,47,27,0,7,0
Ireland,902,120,0,0,4,1
Czechia,1113,124,6,0,1,1
India,366,79,23,0,7,2
Poland,614,96,13,0,7,2
Chile,623,189,8,8,1,1
Japan,845,42,215,0,41,5
Denmark,1381,69,1,0,13,0
Ecuador,499,137,0,0,7,2
Romania,335,58,31,0,1,1
Pakistan,755,30,2,0,4,1
Philippines,338,63,17,4,25,6
Republic of Korea,5884,0,2909,0,104,0
Luxembourg,790,128,0,0,8,0
Mexico,248,48,1,0,2,0
Malaysia,1157,92,139,25,10,6
Indonesia,457,54,9,0,48,10
Serbia,220,50,0,0,2,1
Finland,615,105,10,0,1,0
China,5483,-366,72841,459,3276,9
United Arab Emirates,113,0,38,0,2,0
Saudi Arabia,495,119,16,0,0,0
Panama,242,-2,0,0,3,2
Qatar,461,7,33,6,0,0
Dominican Republic,70,0,0,0,2,0
Greece,590,92,19,0,15,2
Colombia,209,51,0,0,1,1
South Africa,274,34,0,0,0,0
Peru,313,0,0,0,5,0
Thailand,553,125,45,1,1,0
Argentina,220,66,1,0,4,1
Ukraine,44,0,0,0,3,0
Algeria,172,60,12,0,17,2
Iceland,567,95,0,0,1,0
Singapore,313,23,140,0,2,0
Egypt,257,14,56,15,14,4
Croatia,200,73,5,0,1,0
Estonia,326,20,0,0,0,0
Republic of Moldova,92,14,1,0,1,0
Morocco,108,17,3,1,4,1
Slovenia,412,72,0,0,2,1
Lithuania,139,57,1,1,1,0
Belarus,61,7,15,0,0,0
Armenia,188,29,2,1,0,0
Hungary,120,28,7,0,4,0
New Zealand,102,49,0,0,0,0
Iraq,156,8,57,8,20,3
Azerbaijan,54,21,10,0,1,0
Kazakhstan,56,2,0,0,0,0
Kuwait,158,9,30,3,0,0
Bosnia and Herzegovina,91,27,0,0,1,1
Cameroon,40,13,0,0,0,0
Tunisia,72,13,0,0,3,2
Slovakia,184,7,0,0,1,0
Bulgaria,181,57,3,3,3,0
Latvia,139,15,0,0,0,0
North Macedonia,85,15,0,0,0,0
Uzbekstan,43,2,0,0,0,0
Puerto Rico,20,6,0,0,1,1
Andorra,112,25,1,0,1,1
Cyprus,94,19,0,0,1,1
Lebanon,233,15,8,0,4,0
Costa Rica,115,4,0,0,2,0
Afghanistan,40,16,0,0,0,0
Bahrain,183,-22,149,49,2,1
Réunion,47,19,0,0,0,0
Cuba,20,0,0,0,1,0
Cote d Ivoire,24,11,1,0,0,0
Oman,38,-1,17,4,0,0
Uruguay,135,25,0,0,0,0
Malta,73,9,0,0,0,0
Ghana,20,0,0,0,1,0
Honduras,24,0,0,0,0,0
Mauritius,22,9,0,0,2,1
San Marino,129,-6,2,0,20,6
Burkina Faso,64,31,5,0,3,1
occupied Palestinian territory,42,2,17,0,0,0
