Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,62,0,0,0,2,2
Italy,1984,330,0,0,52,17
Germany,157,28,0,0,0,0
Spain,114,69,0,0,0,0
The United Kingdom,39,3,0,0,0,0
France,188,90,0,0,3,1
Iran (Islamic Republic of),1435,511,0,0,66,12
Belgium,8,7,0,0,0,0
Canada,27,8,0,0,0,0
Netherlands,18,5,0,0,0,0
Brazil,2,0,0,0,0,0
Switzerland,30,6,0,0,0,0
Portugal,2,2,0,0,0,0
Austria,18,8,0,0,0,0
Israel,10,3,0,0,0,0
Sweden,15,1,0,0,0,0
Russian Federation,3,1,0,0,0,0
Norway,25,6,0,0,0,0
Australia,32,6,0,0,1,0
Ireland,1,0,0,0,0,0
Czechia,3,0,0,0,0,0
India,5,2,0,0,0,0
Japan,262,14,0,0,6,0
Denmark,5,1,0,0,0,0
Ecuador,6,5,0,0,0,0
Romania,3,0,0,0,0,0
Pakistan,5,1,0,0,0,0
Philippines,2,0,0,0,1,0
Republic of Korea,4784,594,0,0,28,6
Luxembourg,1,0,0,0,0,0
Mexico,5,0,0,0,0,0
Malaysia,29,5,0,0,0,0
Indonesia,2,0,0,0,0,0
Finland,7,1,0,0,0,0
China,27524,-2572,49914,2654,2984,38
United Arab Emirates,21,0,0,0,0,0
Saudi Arabia,1,1,0,0,0,0
Qatar,7,4,0,0,0,0
Dominican Republic,1,0,0,0,0,0
Greece,7,0,0,0,0,0
Thailand,42,1,0,0,1,0
Algeria,5,4,0,0,0,0
Iceland,9,7,0,0,0,0
Singapore,108,2,0,0,0,0
Egypt,2,0,0,0,0,0
Croatia,9,2,0,0,0,0
Estonia,1,0,0,0,0,0
Morocco,1,1,0,0,0,0
Lithuania,1,0,0,0,0,0
Belarus,1,0,0,0,0,0
Armenia,1,0,0,0,0,0
New Zealand,2,1,0,0,0,0
Iraq,26,7,0,0,0,0
Azerbaijan,3,0,0,0,0,0
Kuwait,56,0,0,0,0,0
Tunisia,1,1,0,0,0,0
Latvia,1,1,0,0,0,0
North Macedonia,1,0,0,0,0,0
Andorra,1,1,0,0,0,0
Lebanon,13,3,0,0,0,0
Afghanistan,1,0,0,0,0,0
Bahrain,49,2,0,0,0,0
Oman,6,0,0,0,0,0
San Marino,8,7,0,0,0,0
Jordan,1,1,0,0,0,0
Nigeria,1,0,0,0,0,0
Vietnam,16,0,0,0,0,0
Georgia,3,0,0,0,0,0
Sri Lanka,1,0,0,0,0,0
Senegal,1,1,0,0,0,0
International conveyance (Diamond Princess),700,0,0,0,6,0
Monaco,1,0,0,0,0,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
