Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,35,20,0,0,0,0
Italy,9,6,0,0,0,0
Germany,16,0,0,0,0,0
Spain,2,0,0,0,0,0
The United Kingdom,9,0,0,0,0,0
France,11,0,0,0,1,0
Iran (Islamic Republic of),14,11,0,0,4,2
Belgium,1,0,0,0,0,0
Canada,8,0,0,0,0,0
Israel,1,1,0,0,0,0
Sweden,1,0,0,0,0,0
Russian Federation,2,0,0,0,0,0
Australia,21,4,0,0,0,0
India,3,0,0,0,0,0
Japan,104,12,0,0,1,0
Philippines,2,0,0,0,1,0
Republic of Korea,344,141,0,0,2,1
Malaysia,22,0,0,0,0,0
Finland,1,0,0,0,0,0
China,51689,-1682,22907,2234,2445,97
United Arab Emirates,11,2,0,0,0,0
Thailand,35,0,0,0,0,0
Singapore,86,1,0,0,0,0
Egypt,1,0,0,0,0,0
Lebanon,1,1,0,0,0,0
Vietnam,16,0,0,0,0,0
Sri Lanka,1,0,0,0,0,0
International conveyance (Diamond Princess),632,0,0,0,2,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
