Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,15,0,0,0,0,0
Italy,3,0,0,0,0,0
Germany,16,0,0,0,0,0
Spain,2,0,0,0,0,0
The United Kingdom,9,0,0,0,0,0
France,11,0,0,0,1,0
Belgium,1,0,0,0,0,0
Canada,7,0,0,0,0,0
Sweden,1,0,0,0,0,0
Russian Federation,2,0,0,0,0,0
Australia,15,0,0,0,0,0
India,3,0,0,0,0,0
Japan,58,6,0,0,1,0
Philippines,2,0,0,0,1,0
Republic of Korea,30,1,0,0,0,0
Malaysia,22,0,0,0,0,0
Finland,1,0,0,0,0,0
China,58097,87,12561,1708,1870,98
United Arab Emirates,9,1,0,0,0,0
Thailand,35,1,0,0,0,0
Singapore,75,3,0,0,0,0
Egypt,1,0,0,0,0,0
Vietnam,16,0,0,0,0,0
Sri Lanka,1,0,0,0,0,0
International conveyance (Diamond Princess),454,99,0,0,0,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
