Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,53,18,0,0,0,0
Italy,223,101,0,0,6,4
Germany,16,0,0,0,0,0
Spain,2,0,0,0,0,0
The United Kingdom,13,4,0,0,0,0
France,11,0,0,0,1,0
Iran (Islamic Republic of),49,14,0,0,12,4
Belgium,1,0,0,0,0,0
Canada,10,1,0,0,0,0
Israel,2,1,0,0,0,0
Sweden,1,0,0,0,0,0
Russian Federation,2,0,0,0,0,0
Australia,22,0,0,0,0,0
India,3,0,0,0,0,0
Japan,156,13,0,0,1,0
Philippines,2,0,0,0,1,0
Republic of Korea,967,211,0,0,10,3
Malaysia,22,0,0,0,0,0
Finland,1,0,0,0,0,0
China,45697,-2063,29775,2422,2718,52
United Arab Emirates,13,0,0,0,0,0
Thailand,37,2,0,0,0,0
Singapore,90,1,0,0,0,0
Egypt,1,0,0,0,0,0
Iraq,1,1,0,0,0,0
Kuwait,8,5,0,0,0,0
Lebanon,1,0,0,0,0,0
Afghanistan,1,1,0,0,0,0
Bahrain,8,8,0,0,0,0
Oman,2,2,0,0,0,0
Vietnam,16,0,0,0,0,0
Sri Lanka,1,0,0,0,0,0
International conveyance (Diamond Princess),688,-4,0,0,3,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
