Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,334488,25792,17582,316,10689,1127
Italy,93187,1572,22837,1022,16523,636
Germany,85476,3585,8481,0,1434,92
Spain,83897,3636,38080,0,13055,637
The United Kingdom,46100,3363,135,0,5373,439
France,50129,3912,16183,0,8078,0
Turkey,28242,2789,1326,284,649,75
Iran (Islamic Republic of),32525,-87,24236,2225,3739,136
Belgium,16310,668,2872,0,1632,185
Canada,13368,1028,2770,0,320,43
Netherlands,13982,851,2954,0,1867,101
Brazil,11503,1584,0,0,553,194
Switzerland,13158,-861,7298,883,734,68
Portugal,11279,342,140,65,311,45
Austria,9272,58,2507,0,204,18
Israel,8177,273,670,193,57,8
Sweden,6712,300,17,0,477,76
Russian Federation,5890,901,406,51,47,2
Norway,5686,70,0,0,76,6
Australia,5631,97,119,0,45,11
Ireland,5190,354,0,0,174,16
Czechia,4536,156,121,25,78,11
India,3851,631,319,45,111,28
Poland,4144,270,162,28,107,13
Chile,3839,233,598,70,34,7
Japan,3582,221,404,0,97,4
Denmark,3600,304,894,0,187,8
Ecuador,3567,274,0,0,180,8
Romania,3526,187,374,0,157,6
Pakistan,3349,370,257,127,52,5
Philippines,3424,394,73,9,163,11
Republic of Korea,3500,-91,6598,135,186,3
Luxembourg,2527,0,241,0,36,0
Mexico,2313,503,1,0,125,46
Malaysia,2490,-106,1241,236,62,1
Indonesia,2218,207,64,0,209,11
Serbia,2142,213,0,0,58,7
Finland,2138,249,10,0,28,0
China,2281,-36,77450,102,3340,0
United Arab Emirates,1898,254,167,23,11,1
Saudi Arabia,2016,136,551,63,38,4
Panama,1751,0,4,0,46,0
Qatar,1697,220,131,8,4,0
Dominican Republic,1420,0,0,0,68,0
Greece,1657,14,19,0,79,6
Colombia,1448,83,85,0,46,11
South Africa,1630,31,45,0,11,0
Peru,1284,0,914,0,83,0
Thailand,1401,-71,793,119,26,3
Argentina,1268,100,240,0,46,3
Ukraine,1253,10,28,0,38,1
Algeria,1059,0,62,0,130,0
Iceland,1096,42,460,32,6,2
Singapore,1025,-12,344,78,6,0
Egypt,978,130,259,12,85,7
Croatia,1077,29,130,11,15,0
Estonia,1045,11,48,0,15,0
Republic of Moldova,918,99,30,0,17,2
Morocco,959,84,81,5,80,10
Slovenia,991,22,0,0,30,2
Lithuania,828,30,1,0,14,2
Belarus,634,192,53,1,13,5
Armenia,763,5,62,5,8,1
Hungary,639,6,67,1,38,4
New Zealand,860,-128,50,0,1,0
Iraq,623,2,344,65,64,3
Azerbaijan,590,43,44,12,7,2
Kazakhstan,578,68,45,9,6,1
Kuwait,556,105,103,4,6,0
Bosnia and Herzegovina,598,17,47,17,29,8
Cameroon,632,8,17,0,9,0
Tunisia,574,22,0,0,22,0
Slovakia,525,49,8,0,1,0
Bulgaria,526,18,3,0,20,0
Latvia,541,9,0,0,1,0
North Macedonia,519,5,30,7,21,3
Uzbekstan,358,88,30,5,2,-1
Puerto Rico,434,0,0,0,18,0
Andorra,474,17,31,5,21,3
Cyprus,451,16,0,0,14,3
Lebanon,467,12,55,1,19,1
Costa Rica,433,19,0,0,2,0
Afghanistan,360,30,0,0,7,0
